CAL_Wip_ID,genotype,Female_Parent,length_2Y,RLN_2Y,length_3Y,RLN_3Y,Over_length_3Y,Over_RLN_3Y
48-12 CK,,,,,,,,
CR,,,,,,,,
CR 10,,,,,,,,
CR 13,,,,,,,,
Durham,,,,,,,,
Hartley,,,,,,,,
Forde,,,,,,,,
Howard,,,,,,,,
Ivanhoe,,,,,,,,
PI159568,,,,,,,,
R. livermore,,,,,,,,
Serr,SERR,,30,5.7,,,,
Solano,,,,,,,,
Sunland,,,,,,,,
Tulare,,,,,,,,
Vina,,,,,,,,
AD 117,AD117,31.09,,81.94,95,218.4,,
AD 118,,31.09,,,,,,
AD 119,,31.09,,,,,,
AD 121,,31.09,,,,,,
AD 122,,31.09,,,,,,
AD 123,AD123,31.09,,42.9,74.5,16,,
AD 125,AD125,31.09,,77.47,83.92,484.9,,
AD 131,,31.09,,,,,,
AD 136,AD136,31.09,,45.91,111.67,279.9,,
AD 138,AD138,31.09,,38.11,172.8,197.7,128.92,55.5
AD 139,,31.09,,,,,,
AD 145,AD 145,31.09,106.7,1.7,154.7,141.4,,
AD 156,,31.09,,,,,,
AD 162,AD162,31.09,,56.34,92.04,185.8,,
AD 163,AD163,31.09,,53.08,121.17,6.3,,
AD 165,AD165,31.09,,57.1,86.25,318,,
AD 166,,31.09,,,,,,
AD 167,AD167,31.09,,13.41,125.25,348.2,,
AD 169,,31.09,,,,,,
AD 170,,31.09,,,,,,
AD 171,,31.09,,,,,,
AD 172,AD 172,31.09,98.8,3.516666667,149,13.7,,
AD 173,,31.09,,,,,,
AD 180,,31.09,,,,,,
AD 182,,31.09,,,,,,
AD 183,,31.09,,,,,,
AD 184,AD184,31.09,,24.92,123.88,164.9,,
AD 185,AD185,31.09,,76.6,96.83,525,,
AD 187,AD 187,31.09,128.6,50.6125,187.4,128.5,,
AD 191,,31.09,,,,,,
AD 192,AD192,31.09,,51.84,105.67,221.9,,
AD 193,AD193,31.09,,78.98,75.08,141.9,,
AD 196,AD 196,31.09,86.9,6.0875,133.8,70.3,,
AD 198,AD198,31.09,,19.3,20.25,177.6,,
AD 215,,31.09,,,,,,
AD 217,AD217,31.09,,39.55,90.21,25.6,,
AD 224,AD224,31.09,,3.89,,7.2,,
AD 233,AD233,31.09,,139.94,72.75,404.3,,
